,channel,x,y
808,866,1207.5,1680.0
809,867,2152.5,2065.0
810,868,1435.0,472.5
811,869,2187.5,647.5
812,870,1627.5,1837.5
813,871,1662.5,910.0
814,872,1190.0,297.5
815,873,1960.0,157.5
816,874,1225.0,1802.5
817,875,1872.5,1505.0
818,876,1330.0,262.5
819,877,1960.0,140.0
820,878,1837.5,1697.5
821,879,1855.0,1715.0
822,880,1680.0,910.0
823,881,2310.0,175.0
824,882,1680.0,1785.0
825,883,1872.5,1487.5
826,884,1207.5,280.0
827,885,2310.0,210.0
828,886,1505.0,1767.5
829,887,2170.0,2082.5
830,888,1750.0,192.5
831,889,1925.0,122.5
832,890,1330.0,1382.5
833,891,1907.5,2030.0
834,892,1557.5,157.5
835,893,2275.0,210.0
836,894,1312.5,2012.5
837,895,1802.5,1435.0
838,896,1592.5,175.0
839,897,1820.0,910.0
840,898,1295.0,1522.5
841,899,1277.5,1505.0
842,900,1732.5,210.0
843,901,1942.5,157.5
844,902,1942.5,2012.5
845,903,1680.0,1767.5
846,904,1802.5,927.5
847,905,1942.5,122.5
848,906,1907.5,2012.5
849,907,1942.5,2030.0
850,908,1662.5,1102.5
851,909,1925.0,157.5
852,910,1872.5,1680.0
853,911,2135.0,1855.0
854,912,1750.0,1155.0
855,913,2082.5,17.5
856,914,1610.0,1837.5
857,915,1715.0,1785.0
858,916,1697.5,875.0
859,917,1575.0,192.5
860,918,1680.0,1102.5
861,919,1715.0,1802.5
862,920,1925.0,140.0
863,921,1662.5,892.5
864,922,1837.5,1715.0
865,923,2152.5,1837.5
866,924,1715.0,787.5
867,925,1540.0,507.5
868,926,1872.5,1470.0
869,927,1557.5,1050.0
870,928,1557.5,1015.0
871,929,1802.5,857.5
872,930,1872.5,1697.5
873,931,1907.5,2047.5
874,932,1680.0,1085.0
875,933,1680.0,875.0
876,934,1312.5,1505.0
877,935,2205.0,1890.0
878,936,1697.5,805.0
879,937,1697.5,770.0
880,938,1802.5,2082.5
881,939,1785.0,2082.5
882,940,1785.0,1155.0
883,941,2047.5,17.5
884,942,1942.5,2047.5
885,943,1855.0,1470.0
886,944,1750.0,210.0
887,945,1662.5,1085.0
888,946,1802.5,1400.0
889,947,1925.0,2047.5
890,948,1767.5,227.5
891,949,2065.0,35.0
892,950,1925.0,2030.0
893,951,2135.0,1820.0
894,952,1697.5,787.5
895,953,2065.0,0.0
896,954,1767.5,2065.0
897,955,1837.5,1680.0
898,956,1785.0,840.0
899,957,1960.0,122.5
900,958,1767.5,1435.0
901,959,1872.5,1715.0
902,960,1575.0,157.5
903,961,1890.0,1015.0
904,962,1715.0,1767.5
905,963,1785.0,1400.0
906,964,1732.5,192.5
907,965,1505.0,542.5
908,966,1312.5,1995.0
909,967,1365.0,1382.5
910,968,1732.5,787.5
911,969,1645.0,1102.5
912,970,1592.5,1837.5
913,971,2152.5,2082.5
914,972,1942.5,140.0
915,973,2187.5,682.5
916,974,1680.0,1802.5
917,975,2345.0,1365.0
918,976,1540.0,525.0
919,977,1750.0,227.5
920,978,1295.0,2012.5
921,979,2152.5,1820.0
922,980,1715.0,805.0
923,981,1820.0,945.0
924,982,1855.0,1505.0
925,983,2187.5,2065.0
926,984,1540.0,542.5
927,985,1977.5,927.5
928,986,1907.5,1032.5
929,987,2380.0,1330.0
930,988,1347.5,280.0
931,989,1767.5,210.0
932,990,1697.5,1767.5
933,991,1925.0,2012.5
934,992,1732.5,227.5
935,993,2152.5,647.5
936,994,1785.0,1417.5
937,995,1785.0,927.5
938,996,1417.5,490.0
939,997,1907.5,997.5
940,998,1767.5,2082.5
941,999,2222.5,1890.0
942,1000,1330.0,297.5
943,1001,2152.5,682.5
944,1002,1610.0,1802.5
945,1003,1802.5,2065.0
946,1004,1592.5,157.5
947,1005,1732.5,770.0
948,1006,1102.5,1260.0
949,1007,1662.5,1067.5
950,1008,1592.5,192.5
951,1009,2292.5,787.5
952,1010,1697.5,1785.0
953,1011,2240.0,1872.5
954,1012,1872.5,997.5
955,1013,1767.5,1137.5
956,1014,1592.5,1820.0
957,1015,2345.0,1330.0
958,1016,1557.5,192.5
959,1017,2275.0,175.0
960,1018,1697.5,1802.5
961,1019,1627.5,1820.0
962,1020,1540.0,1050.0
963,1021,1960.0,945.0
964,1022,1295.0,1487.5
965,1023,1487.5,1750.0
